"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 12",2,86,87,127,126,22,47,8,NA,"Cell 12",NA,NA,176.3363,91.2646788078704,85.0716211921296,0.96487928114778,25,0.0369515000125477,0.0257604490122877,0.0106760688260136,266.951135126068,-0.000811207661215816,0.585563558270234,0.0107851893273193,0.0256513285109819,34.5,NA,NA
"Cell 13",1,217,218,124,125,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"Cell 15",3,226,227,291,290,47,71,10,NA,"Cell 15",NA,NA,202.729847719302,77.54883040534,125.181017313962,0.765046008545456,24,0.0145124442281023,0.010624730628174,0.00436358735222216,-74.9208800875178,0.000218663078114762,0.58929901331794,0.00469244992890652,0.0102958680514896,59,NA,NA
"Cell 16",2,44,45,82,83,22,47,11,NA,"Cell 16",NA,NA,153.11765,71.7529273424528,81.3647226575476,0.937226078671565,25,0.0341962313840722,0.0177862837975408,0.0165766993364203,239.836424716699,-0.00227388163249086,0.0680065872606651,0.0169162501022557,0.0174467330317054,34.5,NA,NA
"Cell 18",2,62,63,100,101,22,47,13,NA,"Cell 18",NA,NA,149.66805,61.0446286274284,88.6234213725718,0.81573360015619,25,0.0394779629336231,0.0212317764900531,0.0179969813853085,-67.4039783395801,0.0016731338106117,0.152356309245253,0.0184036116562404,0.0208251462191213,34.5,NA,NA
"Cell 19",2,64,65,102,103,22,47,14,NA,"Cell 19",NA,NA,91.4707499999998,40.5417662911278,50.928983708872,0.886442196901805,25,0.0483276197752109,0.0268850917296284,0.0195913399071988,267.007984172722,0.000163658887437719,0.271293544235582,0.0196428834553331,0.026833548181494,34.5,NA,NA
"Cell 20",1,24,25,62,63,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"Cell 21",1,36,37,75,74,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"Cell 22",1,34,35,72,73,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"Cell 23",2,68,69,106,107,22,47,15,NA,"Cell 23",NA,NA,120.6821,72.4243960377287,48.2577039622713,0.799749158529248,25,0.0461815634338525,0.024166796343421,0.0220160359944604,-19.9646162089675,0.00103998282276415,0.0889965024075717,0.023870310268268,0.0223125220696134,34.5,NA,NA
"Cell 26",2,50,51,88,89,22,47,18,"Cell 7","Cell 26",0,22,122.95815,72.3944492594619,50.5637007405379,0.822453830682033,25,0.0349752883482276,0.0207967585066336,0.0139931525318277,239.99264347747,0.00314213439710975,0.327147424087063,0.0158863906945172,0.0189035203439441,34.5,11,23.5
"Cell 27",2,54,55,90,91,22,47,19,"Cell 7","Cell 27",0,22,126.66745,45.4086574654955,81.2587925345046,0.716974368166336,25,0.0396963300017805,0.0234665993737691,0.016202798509099,-81.2977652103851,-0.000559816201334927,0.309537856294149,0.0163067917599494,0.0233626061229187,34.5,11,23.5
"Cell 28",2,46,47,84,85,22,47,20,"Cell 8","Cell 28",0,22,102.7873,61.6823045937741,41.1049954062261,0.799806890661123,25,0.0377151173812807,0.0216113296046231,0.0157434078091403,258.450093087239,0.00187435024362417,0.271520628431278,0.0160576391115251,0.0212970983022384,34.5,11,23.5
"Cell 29",2,52,53,92,93,22,47,21,"Cell 8","Cell 29",0,22,143.10205,78.0140749520189,65.087975047981,0.909672154214158,25,0.0444994420465359,0.0229303057437079,0.0212874102407371,-45.8509189494583,-0.00106914797778945,0.0716473439706158,0.0220320917806477,0.0221856242037973,34.5,11,23.5
"Cell 30",2,40,41,78,79,22,47,22,"Cell 3","Cell 30",0,22,165.10305,71.5077839007128,93.5952660992872,0.866220023200211,25,0.0367681549851582,0.0217664457709564,0.0146242812993915,-87.1445566577123,-0.000835183451305413,0.328127271981854,0.0146265678850672,0.0217641591852807,34.5,11,23.5
"Cell 31",2,38,39,76,77,22,47,23,"Cell 3","Cell 31",0,22,96.2629500000001,61.0205693593877,35.2423806406123,0.732210692496174,25,0.0451955799951065,0.0249277367688746,0.0190948109801461,14.4835472496495,-0.000368894672567668,0.2339933963043,0.0246478516781791,0.0193746960708415,34.5,11,23.5
"Cell 32",2,100,101,142,143,22,47,24,"Cell 5","Cell 32",0,22,102.0915,56.2279765941534,45.8635234058466,0.89847878434241,25,0.0428641993682178,0.0261814877037991,0.0160007249354093,260.88599950633,-0.00177982261152772,0.388853486233042,0.0163676820223097,0.0258145306168987,34.5,11,23.5
"Cell 33",2,104,105,150,151,22,47,25,"Cell 5","Cell 33",0,22,94.1780000000002,44.911971594932,49.2660284050682,0.953767792795173,25,0.0360354613534214,0.0238882840539712,0.0118691480221482,261.61419791126,-0.0038719478846517,0.503139363407935,0.0122472275457417,0.0235102045303777,34.5,11,23.5
"Cell 34",2,60,61,98,99,22,47,26,"Cell 22","Cell 34",0,22,117.7078,59.818896114683,57.888903885317,0.983603531547051,25,0.0398253021674714,0.020998657914955,0.0185115468050341,235.379492896765,-0.00056063974407391,0.118441431828347,0.0193894764460649,0.0201207282739241,34.5,11,23.5
"Cell 35",2,58,59,96,97,22,47,27,"Cell 22","Cell 35",0,22,66.8311000000001,35.8406442378904,30.9904557621098,0.927426176199694,25,0.054445754288747,0.0305997670329127,0.0225443344358514,-9.63973431315495,0.000854163497731388,0.263251435489589,0.0302812324314965,0.0228628690372676,34.5,11,23.5
"Cell 36",2,56,57,94,95,22,47,28,"Cell 21","Cell 36",0,22,85.4070000000003,47.7409365478339,37.6660634521664,0.882036916228559,25,0.0438127007601214,0.0246807929965627,0.0189202133976936,5.52577281594244,-0.00229308698545538,0.233403343226103,0.0246568608963787,0.0189441454978775,34.5,11,23.5
"Cell 37",3,106,107,152,153,47,71,29,"Cell 21","Cell 37",0,22,236.4005,114.841682550063,121.558817449937,0.971585783871548,24,0.0253680165502125,0.0177175554616874,0.00767772775527144,-81.2303280821976,0.000506715373153848,0.566659871793611,0.00782428541623026,0.0175709978007286,59,11,48
"Cell 40",2,42,43,81,80,22,47,22,"Cell 30","Cell 30",22,47,24.8209499999999,11.483165936048,13.3377840639519,0.925280131183382,25,0.0367681549851582,0.0217664457709564,0.0146242812993915,-87.1445566577123,-0.000835183451305413,0.328127271981854,0.0146265678850672,0.0217641591852807,34.5,34.5,0
"Cell 41",3,134,135,182,183,47,71,22,"Cell 30","Cell 30",22,47,234.670799999999,107.011919783572,127.658880216427,0.912017343304514,24,0.034564883928158,0.0212393494236634,0.0133139535093184,-87.4351042544579,0.00135859724644603,0.373146830265672,0.013315256557386,0.0212380463755958,59,34.5,24.5
"Cell 43",4,211,212,264,265,71,96,22,"Cell 40","Cell 30",22,47,224.821800000001,155.231446108082,69.5903538919186,0.619071227896213,25,0.0183622925655216,0.0109128937001363,0.00794207693427973,-43.8841983860452,-0.00163902922781838,0.272229973780413,0.0093904469329036,0.00946452370151238,83.5,34.5,49
